"co_procedimento";"co_registro"
"0202060314";"02"
"0202060314";"05"
"0202060322";"01"
"0202060322";"02"
"0202060330";"01"
"0202060330";"02"
"0202060330";"05"
"0202060349";"01"
"0202060349";"02"
"0202060349";"05"
"0202060357";"01"
"0202060357";"02"
"0202060357";"05"
"0202060365";"01"
"0202060365";"02"
"0202060365";"05"
"0202060373";"01"
"0202060373";"02"
"0202060373";"05"
"0202060373";"07"
"0202060381";"01"
"0202060381";"02"
"0202060381";"05"
"0202060390";"01"
"0202060390";"02"
"0202060390";"05"
"0202060403";"01"
"0202060403";"02"
"0202060403";"05"
"0202060411";"01"
"0202060411";"02"
"0202060411";"05"
"0202060420";"01"
"0202060420";"02"
"0202060420";"05"
"0202060438";"01"
"0202060438";"02"
"0202060438";"05"
"0202060446";"01"
"0202060446";"02"
"0202060446";"05"
"0202060454";"01"
"0202060454";"02"
"0202060454";"05"
"0202060462";"01"
"0202060462";"02"
"0202060462";"05"
"0202060470";"01"
"0202060470";"02"
"0202060470";"05"
"0202070018";"01"
"0202070018";"02"
"0202070018";"05"
"0202070026";"01"
"0202070026";"02"
"0202070026";"05"
"0202070034";"01"
"0202070034";"02"
"0202070034";"05"
"0202070042";"01"
"0202070042";"02"
"0202070042";"05"
"0202070050";"01"
"0202070050";"02"
"0202070050";"05"
"0202070069";"01"
"0202070069";"02"
"0202070069";"05"
"0202070077";"01"
"0202070077";"02"
"0202070077";"05"
"0202070085";"01"
"0202070085";"02"
"0202070085";"05"
"0202070085";"07"
"0202070093";"01"
"0202070093";"02"
"0202070093";"05"
"0202070107";"01"
"0202070107";"02"
"0202070107";"05"
"0202070115";"01"
"0202070115";"02"
"0202070115";"05"
"0202070123";"01"
"0202070123";"02"
"0202070123";"05"
"0202070131";"01"
"0202070131";"02"
"0202070131";"05"
"0202070140";"01"
"0202070140";"02"
"0202070140";"05"
"0202070158";"01"
"0202070158";"02"
"0202070158";"05"
"0202070166";"01"
"0202070166";"02"
"0202070166";"05"
"0202070174";"01"
"0202070174";"02"
"0202070174";"05"
"0202070182";"02"
"0202070182";"05"
"0202070190";"01"
"0202070190";"02"
"0202070190";"05"
"0202070204";"01"
"0202070204";"02"
"0202070204";"05"
