"co_procedimento";"co_cid"
"0201010518";"N904"
"0201010526";"A300"
"0201010526";"A301"
"0201010526";"A302"
"0201010526";"A303"
"0201010526";"A304"
"0201010526";"A305"
"0201010526";"A308"
"0201010526";"A309"
"0201010526";"B92 "
"0201010526";"C000"
"0201010526";"C001"
"0201010526";"C002"
"0201010526";"C003"
"0201010526";"C004"
"0201010526";"C005"
"0201010526";"C020"
"0201010526";"C021"
"0201010526";"C022"
"0201010526";"C023"
"0201010526";"C024"
"0201010526";"C028"
"0201010526";"C060"
"0201010526";"D100"
"0201010526";"D101"
"0201010526";"D102"
"0201010526";"D103"
"0201010526";"K132"
"0201010534";"A810"
"0201010534";"A811"
"0201010534";"A812"
"0201010534";"A818"
"0201010534";"B220"
"0201010534";"B690"
"0201010534";"B699"
"0201010534";"C700"
"0201010534";"C710"
"0201010534";"C711"
"0201010534";"C712"
"0201010534";"C713"
"0201010534";"C714"
"0201010534";"C715"
"0201010534";"C716"
"0201010534";"C717"
"0201010534";"C718"
"0201010534";"C719"
"0201010534";"C722"
"0201010534";"C723"
"0201010534";"C724"
"0201010534";"C725"
"0201010534";"C728"
"0201010534";"C729"
"0201010534";"C751"
"0201010534";"D330"
"0201010534";"D331"
"0201010534";"D332"
"0201010534";"D333"
"0201010534";"D337"
"0201010534";"D339"
"0201010534";"D352"
"0201010534";"D430"
"0201010534";"D431"
"0201010534";"D432"
"0201010534";"D433"
"0201010534";"D434"
"0201010534";"D437"
"0201010534";"D439"
"0201010534";"D443"
"0201010534";"G062"
"0201010534";"G930"
"0201010534";"G934"
"0201010534";"R900"
"0201010534";"R908"
"0201010550";"C498"
"0201010550";"C760"
"0201010550";"C859"
"0201010550";"C967"
"0201010569";"C500"
"0201010569";"C501"
"0201010569";"C502"
